Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9
10/25/2024 11:14:32,Sophomore,2,"Coming up with ideas, Title creation/Creativity",5,3,3,4,Not at all.,
10/25/2024 11:14:55,Junior,1,"Coming up with ideas, Title creation/Creativity",3,3,2,4,Not at all.,
10/25/2024 11:15:52,Junior,1,"Coming up with ideas, Title creation/Creativity",2,2,2,2,Not at all.,
10/25/2024 11:19:02,Junior,4,"Coming up with ideas, Paper checker (Asking ChatGPT for advice on your current paper)",4,4,3,3,Neutral. My teacher hasn't discussed ChatGPT usage.,
10/25/2024 11:21:15,Junior,2,"Coming up with ideas, Title creation/Creativity",4,3,3,4,Not at all.,None
10/25/2024 11:21:32,Sophomore,3,"Coming up with ideas, Full generation (Asking ChatGPT to write paper; humanize it; etc.)",5,2,3,1,Neutral. My teacher hasn't discussed ChatGPT usage.,
10/25/2024 11:22:17,Junior,3,"Coming up with ideas, Grammar/Punctuation assistance",3,3,4,3,Neutral. My teacher hasn't discussed ChatGPT usage.,N/A
10/25/2024 11:22:55,Junior,1,"Coming up with ideas, Paper checker (Asking ChatGPT for advice on your current paper)",1,3,3,5,Not at all.,N/A
10/25/2024 11:23:00,Sophomore,1,"Title creation/Creativity, Full generation (Asking ChatGPT to write paper; humanize it; etc.)",3,2,3,2,"Discouraged, but not forbidden.",N/A
10/25/2024 11:26:18,Senior,2,"Grammar/Punctuation assistance, Paper checker (Asking ChatGPT for advice on your current paper)",3,3,4,4,Not at all.,
10/25/2024 11:42:36,Junior,1,"Coming up with ideas, Paper checker (Asking ChatGPT for advice on your current paper)",,3,2,5,Not at all.,
10/25/2024 13:33:25,Freshman,2,"Grammar/Punctuation assistance, Title creation/Creativity",3,2,2,5,"Allowed, but with restrictions.",
10/25/2024 13:33:29,Sophomore,1,"Coming up with ideas, Title creation/Creativity",3,3,1,5,Neutral. My teacher hasn't discussed ChatGPT usage.,
10/25/2024 13:33:31,Junior,2,"Coming up with ideas, Title creation/Creativity",4,2,3,2,Not at all.,
10/25/2024 13:33:44,Sophomore,2,"Coming up with ideas, Paper checker (Asking ChatGPT for advice on your current paper)",3,2,3,1,Not at all.,
10/25/2024 13:33:45,Sophomore,3,"Coming up with ideas, Title creation/Creativity",3,3,4,2,Not at all.,
10/25/2024 13:34:09,Senior,1,"Coming up with ideas, Grammar/Punctuation assistance",2,5,1,5,"Allowed, but with restrictions.",AI harms creativity and honesty within work. 
10/25/2024 13:34:38,Senior,1,"Coming up with ideas, Title creation/Creativity",2,3,3,5,"Discouraged, but not forbidden.","Good Luck, Mon ami"
10/25/2024 13:37:23,Junior,1,"Coming up with ideas, Title creation/Creativity",1,5,1,5,Not at all.,
10/25/2024 15:03:17,Sophomore,1,"Coming up with ideas, Full generation (Asking ChatGPT to write paper; humanize it; etc.)",4,3,3,4,Not at all.,
10/25/2024 15:23:47,Freshman,2,"Coming up with ideas, Grammar/Punctuation assistance",1,5,3,5,Not at all.,"I think that while fun now artificial ""intelligence"" is only going to cause problems in the future and is going to take jobs from many people, render images and videos useless as evidence in court, clutter up the web with more sophisticated bots than before, and be used for illegal things like making malware much easier."
10/28/2024 8:31:40,Senior,1,"Coming up with ideas, Grammar/Punctuation assistance",1,5,1,1,Not at all.,
10/28/2024 8:35:59,Freshman,3,"Grammar/Punctuation assistance, Paper checker (Asking ChatGPT for advice on your current paper)",2,2,4,2,"Allowed, but with restrictions.",
10/28/2024 8:37:03,Freshman,3,"Title creation/Creativity, Full generation (Asking ChatGPT to write paper; humanize it; etc.)",5,1,3,3,"Allowed, but with restrictions.",No
10/28/2024 8:37:07,Senior,1,"Coming up with ideas, Grammar/Punctuation assistance",3,3,3,3,Neutral. My teacher hasn't discussed ChatGPT usage.,nothing to add 
10/28/2024 8:38:32,Junior,2,"Coming up with ideas, Title creation/Creativity",4,3,3,5,Neutral. My teacher hasn't discussed ChatGPT usage.,Good luck ðŸ¤ž
10/28/2024 8:39:15,Senior,5,"Paper checker (Asking ChatGPT for advice on your current paper), Full generation (Asking ChatGPT to write paper; humanize it; etc.)",5,5,5,1,Neutral. My teacher hasn't discussed ChatGPT usage.,
10/28/2024 8:39:23,Sophomore,3,"Title creation/Creativity, Full generation (Asking ChatGPT to write paper; humanize it; etc.)",4,2,3,4,Not at all.,
10/28/2024 8:40:43,Senior,1,"Paper checker (Asking ChatGPT for advice on your current paper), Full generation (Asking ChatGPT to write paper; humanize it; etc.)",3,4,3,4,Not at all.,"I think that while ai can be used in a responsible and helpful way, the reliance on it to provide answers can negatively affect a students capacity to learn and use what they have learned in an effective manner."
10/28/2024 10:30:01,Sophomore,1,"Coming up with ideas, Grammar/Punctuation assistance",3,3,3,3,Not at all.,
10/28/2024 10:30:55,Sophomore,1,"Coming up with ideas, Grammar/Punctuation assistance",3,4,3,3,Not at all.,Nope
10/28/2024 10:31:03,Senior,2,"Coming up with ideas, Paper checker (Asking ChatGPT for advice on your current paper)",4,2,3,3,"Allowed, but with restrictions.",
10/28/2024 10:31:14,Junior,1,"Coming up with ideas, Paper checker (Asking ChatGPT for advice on your current paper)",3,2,5,1,Fully allowed.,We should be able to use chatGPT as long as u write the paper
10/28/2024 10:34:28,Junior,1,"Coming up with ideas, Grammar/Punctuation assistance",4,4,3,5,Neutral. My teacher hasn't discussed ChatGPT usage.,
10/28/2024 10:34:48,Sophomore,3,"Coming up with ideas, Title creation/Creativity",4,2,4,2,Neutral. My teacher hasn't discussed ChatGPT usage.,Nope
10/28/2024 10:35:07,Senior,4,"Grammar/Punctuation assistance, Paper checker (Asking ChatGPT for advice on your current paper)",5,2,4,5,Neutral. My teacher hasn't discussed ChatGPT usage.,
10/28/2024 10:35:13,Senior,5,"Coming up with ideas, Full generation (Asking ChatGPT to write paper; humanize it; etc.)",3,1,4,3,Neutral. My teacher hasn't discussed ChatGPT usage.,
10/28/2024 10:35:29,Senior,1,"Coming up with ideas, Title creation/Creativity",3,4,3,5,Not at all.,N/A
10/28/2024 10:35:32,Junior,4,"Paper checker (Asking ChatGPT for advice on your current paper), Full generation (Asking ChatGPT to write paper; humanize it; etc.)",5,2,1,3,"Allowed, but with restrictions.",None
10/28/2024 10:35:32,Junior,1,"Coming up with ideas, Grammar/Punctuation assistance",3,3,3,4,Neutral. My teacher hasn't discussed ChatGPT usage.,Never used chat gpt before 
10/28/2024 10:35:46,Junior,1,"Coming up with ideas, Title creation/Creativity",1,5,3,5,Not at all.,N/A
10/28/2024 10:35:59,Junior,2,"Coming up with ideas, Title creation/Creativity",3,1,4,2,Neutral. My teacher hasn't discussed ChatGPT usage.,
10/28/2024 10:36:26,Freshman,1,"Coming up with ideas, Title creation/Creativity",,,,,Not at all.,I donâ€™t use chat gpt
10/28/2024 10:36:47,Freshman,3,"Coming up with ideas, Paper checker (Asking ChatGPT for advice on your current paper)",3,3,2,4,Neutral. My teacher hasn't discussed ChatGPT usage.,